Product Title,Price,Description
"Boitier d'Extension Pour Disque HDD/SSD 2.5"" Noir","10,900 DT","Adaptateur pour disque HDD/SSD 2.5"" pour ordinateur portable - Adaptateur s'installant à la place d'un lecteur/graveur DVD intégré de 9.5 mm de hauteur - Compatible avec disques durs et SSD de 2.5"" - Interface SATA"
"Etui Rivacase pour disque dur 2,5"" externe portable / Noir","26,600 DT","Etui Rivacase pour disque dur 2,5"" externe portable - Dimensions: 105x160x20 mm - Housse souple pour HDD compatible avec la plupart des disques durs externes portables de 2,5 pouces, chargeurs, batteries et autres appareils électroniques compacts - Fabriquée en jersey noir - La mousse à mémoire de forme offre une protection optimale pour garantir la sécurité de votre appareil - Couleur Noir"
"Etui Rivacase pour disque dur 2,5"" externe portable / Bleu","33,000 DT","Etui Rivacase pour disque dur 2,5"" externe portable - Dimensions: 148x98x40 mm - Coque résistante moulée en mousse EVA pour protéger efficacement votre HDD - Matériau résistant à l'eau - Poche interne pour cartes SD supplémentaires et accessoires - A l'intérieur, une bande élastique permet d'arrimer le disque durant le transport - Bandoulière amovible et passant de ceinture - Couleur Bleu"
Disque Dur Interne SSD TwinMOS NGFFDGBM2280 SATA III M.2 / 128 Go,"35,000 DT",Capacité: 128 Go - Interface SATA3 (6 Gb/s) - Facteur de forme M.2 2280 - Vitesse séquentielle maximale 580 Mo/s en lecture / 550 Mo/s en écriture - Mémoire Flash 3D NAND TLC - DC 3.3 V Faible consommation d'énergie - Fonctionnement silencieux - Température de fonctionnement : 0-70°C - MTBF : 1 500 000 heures - Dimensions : 80 x 22 x 3.5 mm - Poids : 10g - Garantie 1 an
Antivirus Kaspersky plus / 1 poste / 1 an,"39,000 DT",Antivirus Kaspersky plus - 1 Poste - 1 an - Sécurité avancée - Anti-phishing et pare-feu inclus - Outils de performance et surveillance du disque dur - VPN illimité et gestionnaire de mots de passe ( sécurité et confidentialité de votre vie en ligne ) -Navigation privée sans interruption - Protection des données personnelles et de paiement - Optimisation des performances - Élimination des menaces existantes - Protection antipiratage
Disque Dur Interne SSD M.2 TeamGroup MP33 / 128 Go,"49,000 DT","128 Go - Interface PCIe 3.0 x4 avec NVMe 1.3 - Vitesses: Jusqu'à 1500 Mbps (en Lecture), jusqu'à 500 Mbps (en Ecriture) - Dimensions 80 x 22 x 2.3 mm - Garantie 3 ans"
Disque Dur Interne Patriot SSD P220 SATA III 2.5 / 256 Go,"59,000 DT","256 Go - Type de disque: SSD - Format de Disque: 2.5 "" - Interface SATA III - Vitesse de lecture: 550 Mo/s - Vitesse d'écriture: 500 Mo/s - Dimensions: 10 x6.99 x 0.7cm - Garantie 3 ans"
"Disque Dur SSD interne 2.5"" SATA Mushkin / 256 Go","59,000 DT","256 Go  -  Facteur de forme: 2,5"" - Composants de mémoire: Flash NAND 3D - Interface: SATA 6 Go/s - Manette: Mouvement de silicium - Lecture séquentielle maximale: Jusqu'à 500 Mo/s - Écriture séquentielle maximale: Jusqu'à 420 Mo/s - Trouver du temps: 0,1ms - Résistance maximale aux choc: 1500G - Poids 50 grammes - Garantie 1 an"
Disque Dur Interne SSD TwinMOS NGFFEGBM2280 SATA III M.2 / 256 Go,"59,000 DT",Capacité: 256 Go - Interface SATA3 (6 Gb/s) - Facteur de forme M.2 2280 - Vitesse séquentielle maximale 580 Mo/s en lecture / 550 Mo/s en écriture - Mémoire Flash 3D NAND TLC - DC 3.3 V Faible consommation d'énergie - Fonctionnement silencieux - Température de fonctionnement : 0-70°C - MTBF : 1 500 000 heures - Dimensions : 80 x 22 x 3.5 mm - Poids : 10g - Garantie 1 an
"Disque Dur Interne SSD MSI SPATIUM S270 SATA 2.5"" / 240 Go","64,000 DT",240Go - Vitesse en lecture: 500 Mo/s - Vitesse en écriture: 400 Mo/s - Jusqu'à 110 TBW - Dimensions: 100.20x 69.85x 7.00 mm - Garantie 5 ans
